ParticipantID,SEX,ParticipantAge,ParticipantEthnicity1,ParticipantEthnicity2,ParticipantEthnicity3,ParticipantEthnicity4,EducationLevel,FamilyIncome,ParticipantLTR,DatingLength,RelationshipSatisfaction,ProbabilityLeaveCurrentPartner,PartnerNumber,HadSex,AgeSex,ParticipantPrimarilyAttracted,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth1,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24rc,CMVS25rc,CMVS26rc
511,1,33,1, , , ,5,4,2, , , ,7,1,26,2,5,1,0,3,5,3,6,7,5,6,6,5,5,4,2,2,1,2,7,6,6,2,3,5,2,6,6,4,5,2
512,1,26,2, , , ,4,1,3, , , ,3,2, ,2,0,0,0,5,5,6,6,5,6,6,5,6,4,4,2,6,5,7,6,6,5,6,6,5,6,4,5,3,2,3
513,1,23,2, , , ,4,6,1,2,9,8,3,1,17,2,2,1,14,3,5,4,5,3,4,6,5,4,5,4,3,4,5,6,4,4,4,5,4,6,4,4,3,3,3,4
514,2,33,1, , , ,4,6,1,5,10,1,3,1,18,1,6,1,15,3,5,4,5,6,2,4,4,3,5,4,3,1,1,1,6,6,4,2,3,2,2,4,5,3,2,4
515,1,34,3, , , ,5,1,1,5,10,8,10,1,29,2,1,1,6,5,5,4,3,4,4,3,5,4,3,4,3,5,4,6,5,4,3,5,5,4,3,5,4,3,3,4
516,1,31,8, , , ,4,6,1,5,9,1,3,1,18,2,5,1,3,2,5, ,5,4,2,4,5,3,4,4,3,4,4,6,3,4,5,2,5,4,2,5,4,3,4,3
517,2,44,6, , , ,5,6,1,5,9,1,3,2, ,1,3,3,0,4,5,5,5,4,5,1,3,3,3,4,4,7,7,6,5,1,2,4,4,5,5,5,4,6,6,6
518,1,33,1, , , ,4,7,1,5,8,1,5,1,20,2,16,1,2,2,5,4,6,4,3,4,5,4,5,4,5,4,6,4,3,5,3,5,4,5,3,4,5,4,4,4
519,2,33,1, , , ,2,4,1,5,7,2,1,1,25,1,1,1,5,3,5,1,1,1,1,4,1,3,5,4,5,3,3,3,5,5,5,3,1,1,1,1,1,3,3,3
520,2,28,1, , , ,4,6,1,5,11,1,3,1,20,1,1,1,1,5,5,4,5,6,5,5,4,5,6,4,5,5,5,6,5,4,5,6,4,3,5,4,5,4,3,4
521,2,24,1, , , ,3,2,1,5,9,8,2,1,14,1,3,1,20,4,5,4,5,4,5,5,4,4,5,4,5,5,5,5,4,3,4,4,4,3,3,3,4,5,4,5
522,1,35,1, , , ,4,8,1,5,11,1,4,1,18,2,2,1,15,4,5,7,4,4,5,2,5,4,6,4,6,7,6,5,7,5,4,4,5,5,2,5,6,3,4,6
523,1,37,2, , , ,3,1,1,5,7,1,3,1,21,2,3,1,10,4,5,7,7,6,3,6,4,6,5,5,1,7, ,7,7,5,7,7,3,5,4,5, ,2,2,4
524,2,28,1, , , ,4,6,1,4,10,1,3,1,18,1,2,1,10,5,5,6,4,7,7,4,5,4,6,5,1,5,6,2,6,4,6,3,5,3,6,5,3,2,5,2
525,1,29,1, , , ,4,1,1,4,11,1,5,1,15,2,5,1,30,2,5,6,5,3,5,4,6,5,6,5,2, ,5,5,5,6,5,5,6,4,2,4,5,3,2,3
526,1,30,3, , , ,4,1,1,5,7,2,1,2, ,2,0,0,0,4,5,4,5,5,6,7,3,5,5,5,2,5,6,6,7,5,6,6,5,5,5,6,6,3,3,2
527,2,23,1, , , ,4,7,1,3,10,8,1,1,2,1,1,1,1,4,5,4,6,4,3,3,2,5,4,5,3,5,4,3,3,3,6,5,6,5,4,3,6,3,4,5
528,1,28,1, , , ,4,7,2, , , ,3,1,16,2,3,2,4,4,5,5,5,5,5,5,5,4,5,5,3,1,1,4,4,4,4,4,5,5,4,5,5,6,4,5
529,1,34,2, , , ,4,3,1,5,10,1,1,1,27,2,1,1,5,4,5,4,5,6,4,5,6,4,4,5,4,3,5,6,4,2,6,4,5,2,5,4,5,3,2,3
530,2,34,3, , , ,5,6,1,5,11,1,4,1,23,1,1,1,4,4,5,6,6,7,7,7,3,4,4,5,4,2,1,1,7,5,7,7,6,7,7,7,2,2,1,1
531,2,61,1, , , ,4,6,1,5,11,1,1,1,20,1,1,1,1,5,5,4,5,6,5,5,4,5,6,5,4,6,5,4,5,5,6,4,4,3,5,4,5,2,3,3
532,1,27,1, , , ,4,6,1,5,9,1,3,1,19,2,2,1,3,4,5,5,5,6,4,6,5,6,6,5,5,3,3,4,7,7,7,5,5,6,4,6,4,2,1,1
533,2,40,1, , , ,4,6,1,5,10,1,3,1,17,1,2,1,6,3,5,5,5,4,5,5,5,5,5,5,5,6,6,5,2,2,2,6,5,5,5,3,5,5,6,6
534,2,29,1, , , ,4,2,1,4,10,1,6,1,17,1,10,1,5,3,5,5,5,6,5,6,6,6,6,5,5,7,3,7,5,5,5,3,3,6,3,5,3,3,2,3
535,2,30,3, , , ,5,6,1,4,6,5,3,1,19,1,3,1,8,3,5,6,5,4,5,6,5,6,6,5,5,6,6,6,4,5,6,5,5,4,4,5,5,3,2,6
536,2,23,2, , , ,4,2,1,5,2,3,4,1,22,1,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,3,5,3,5,3,3,3,5
537,1,29,7, , , ,4,3,1,3,6,6,2,1,20,2,2,1,12,4,5,5,4,5,4,5,5,5,6,5,5,5,5,5,4,6,6,5,3,5,6,5,6,2,3,4
538,1,39,2, , , ,2,2,2, , , ,8,1,19,2,8,1,0,4,5,5,5,5,5,4,4,4,3,5,6,7,7,7,1,1,1,6,6,4,5,5,6,7,5,7
539,1,28,1, , , ,4,7,1,4,10,1,2,1,16,2,5,1,4,4,5,6,5,5,5,5,6,5,4,5,6,1,4,4,4,4,4,4,5,5,6,5,5,6,3,6
540,2,44,1, , , ,3,1,2, , , ,6,1,17,1,10,0,0,1,5,6,6,6,6,6,6,6,7,6,2,7,4,6,7,7,7,2,3,6,4,6,3,2,2,2
541,2,26,1, , , ,5,6,1,5,11,1,3,1,21,1,4,1,10,5,5,7,6,7,5,5,6,6,7,6,3,5,6,4,4,5,6,5,5,4,4,5,5,4,5,5
542,2,31,3, , , ,5,1,1,5,9,10,1,2, ,1,1,1,0,4,5,6,6,6,6,5,6,6,5,6,3,4,6,4,3,5,5,6,6,5,4,6,6,4,5,3
543,1,30,6, , , ,4,6,1,4,10,2,6,1,16,2,4,2,2,4,5, ,4,6,4,4,3,4,5,6,3,4,4,5,4,5,4,5,5,4,5,5,4,3,4,2
544,1,43,2, , , ,5,8,1,5,9,1,12,1,19,2,10,1,2,4,5,4,6,5,6,4,5,6,6,6,4,6,6,4,2,4,4,5,6,6,5,4,3,2,3,3
545,2,27,1, , , ,4,3,1,5,10,1,1,1,20,1,1,1,4,3,5,6,6,6,4,3,6,7,6,6,5,2,3,5,7,7,5,3,3,5,4,6,5,2,1,1
546,2,34,1, , , ,4,6,1,5,9,1,3,1,23,1,2,1,2,3,5,5,5,5,5,6,5,5,5,6,5,1,2,2,6,6,6,3,5,3,5,5,5,3,3,3
547,2,30,1, , , ,4,8,1,4,8,2,25,1,15,1,30,1,20,4,5,5,5,5,5,6,4,5,4,6,5,1,5,1,3,2,4,6,1,4,4,4,2,2,2,3
548,2,38,1, , , ,3,3,1,5,9,3,2,1,18,1,2,2,30,3,5,2,2,4,6,3,3,5,5,6,5,5,5,4,2,3,4,5,6,3,4,4,6,6,6,4
549,1,47,1, , , ,5,8,1,5,8,1,3,1,28,2,6,0,0,3,5,7,7,7,7,7,7,6,7,6,6,1,4,3,6,7,5,1,1,7,4,7,7,3,7,7
550,2,38,1, , , ,4,4,2, , , ,0,2, ,1,0,0,0,2,5,5,5,6,6,6,6,6,6,6,6,4,2,3,6,7,7,2,2,4,4,6,6,4,6,4
551,2,28,1, , , ,4,7,1,5,9,1,3,1,16,1,1,1,2,4,5,5,6,3,6,4,2,4,4,6,6,7,7,6,2,2,4,6,6,5,4,4,5,6,6,3
552,1,37,1, , , ,4,6,1,5,10,1,10,1,17,2,6,1,2,4,5,3,3,7,4,7,3,5,5,6,6,1,1,2,6,6,5,2,2,4,2,6,6,5,7,4
553,1,28,1, , , ,5,6,1,5,10,1,6,1,18,2,4,1,1,3,5,6,5,2,6,1,6,6,7,6,7,7,7,7,1,1,3,7,7,2,1,1,4,7,1,7
554,1,21,8, , , ,4,4,2, , , ,5,1,16,2,3,1,2,2,5,2,5,4,2,6,3,5,2,7,4,2,4,6,3,3,6,3,6,5,3,4,4,5,2,3
555,1,54,1, , , ,2,4,2, , , ,12,1,15,2,45,2,0,2,5,3,6,6,5,7,4,4,4,7,5,4,3,3,5,6,6,2,2,5,3,4,5,4,6,4
556,2,37,1, , , ,2,6,1,5,8,1,3,1,15,1,5,1,2,3,5,6,6,5,6,2,7,7,7,7,5,1,2,3,7,7,7,1,1,7,4,7,7,1,7,1
557,2,30,1, , , ,2,6, , , , ,1,1,21,1,1,1,8,4,5,6,6,7,7,7,6,6,6,7,6,7,6,6,6,6,5,2,2,7,7,7,7,1,1,1
558,2,25,1,2, , ,4,7,2, , , ,1,1,24,1,4,1,0,3,5,4,4,3,4,5,7,7,7,7,7,7,7,7,4,7,7,1,1,5,4,5,7,7,7,7
559,2,60,1, , , ,4,3,1,5,8,1,5,1,15,1,6,1,0,1,5,7,7,7,7,7,6,7,7,7,7,1,4,7,7,7,7,2,2,7,7,7,7,5,1,1
560,1,23,1, , , ,2,3,2, , , ,4,1,17,2,4,2,8,3,6,4,1,7,7,4,2,2,1,1,2,4,2,3,1,4,5,5,7,7,2,2,6,4,7,1
561,2,33,1, , , ,4,3,1,5,10,1,10,1,16,1,7,1,2,4,6,6,6,6,6,7,5,3,2,2,2,6,6,7,1,1,4,7,7,5,7,7,7,6,1,2
562,1,27,6, , , ,5,7,1,5,10,11,11,1,16,2,1,1,6,5,6,7,1,3,5,3,1,7,4,2,2,7,6,7,7,1,2,5,4,6,2,7,7,7,7,3
563,2,24,1, , , ,4,7,1,5,11,10,1,1,21,1,1,1,1,5,6,5,6,4,6,5,5,5,4,2,3,4,5,4,6,5,5,6,5,5,4,5,5,3,3,5
564,2,28,6, , , ,4,8,1,5,9,1,2,1,21,1,2,1,12,5,6,6,5,3,5,1,3,3,3,2,3,7,7,6,3,3,3,5,6,5,4,5,6,3,4,3
565,2,24,3, , , ,4,6,1,2,10,8,1,1,23,1,1,1,1,5,6,2,3,4,5,3,4,6,4,2,5,4,5,2,3,4,5,4,2,3,4,5,6,4,5,4
566,2,33,6, , , ,3,7,1,5,11,1,1,1,16,1,1,1,15,4,6,1,4,7,6,7,4,3,3,3,2,1,1,4, ,7,7,5,4,2,7,7,7,1,1,1
567,2,41,1, , , ,4,6,2, , , ,2,1,37,1,3,0,0,3,6,5,6,6,6,6,4,4,5,3,2,2,3,4,6,7,7,3,4,6,4,3,6,5,4,5
568,2,29,1, , , ,4,6,1,5,5,1,6,1,18,1,7,1,2,3,6,5,5,2,5,4,3,4,3,3,3,7,7,4,1,1,1,4,2,1,2,6,2,2,4,3
569,1,34,1, , , ,4,8,1,5,10,1,10,1,18,2,10,1,5,4,6,4,3,3,4,1,4,4,5,3,4,5,5,4,3,4,3,4,5,4,5,4,3,6,4,3
570,1,69,1, , , ,4,2,1,5,11,1,5,1,18,2,3,1,2,4,6,6,6,2,6,2,4,5,5,3,5,2,1,1,6,3,5,4,4,3,3,3,3,2,4,2
571,2,36,2, , , ,5,1,1,5,11,4,1,2, ,1,1,1,1,3,6,6,6,6,6,6,6,6,4,3,6,2,2,2,4,2,4,2,3,2,2,2,2,3,6,3
572,1,47,1, , , ,2,3,2, , , ,2,1,28,2,3,0,0,3,6,6,4,7,7,7,3,3,4,4,2,3,4,4,5,5,4,1,1,6,4,7,7,5,7,6
573,2,50,1, , , ,3,7,1,5,10,1,4,1,21,1,9,1,12,4,6,6,6,1,6,6,2,4,4,4,5,7,7,6,1,1,1,6,6,5,6,2,5,7,7,7
574,1,49,1, , , ,3,5,1,5,8,2,10,1,16,2,20,1,2,3,6,5,5,6,5,5,4,4,4,4,5,3,5,5,3,2,3,5, ,5,5,6,6,6,5,5
575,1,29,1, , , ,4,3,1,5,10,1,6,1,18,2,4,1,8,3,6,6,6,3,6,2,4,4,3,4,6,7,7,6,1,1,1,5,5,4,6,1,7,7,7,7
576,2,46,1, , , ,2,8,1,5,10,1,5,1,16,1,5,1,20,4,6,5,6,2,5,7,2,2,2,4,7,7, ,6,1,1,1,5,6,5,6,2,5,7,5,6
577,2,27,2,3, , ,4,3,1,2,7,8,"2 Different in Safe my life Production,and good experience",1,27,1,1,1,3,4,6,4,6,7,6,4,6,5,7,5,1,3,5,7,3,4,6,4,6,3,5,5,4,4,1,3
578,1,29,3, , , ,5,5,1,5,10,8,5,1,14,2,12,5,4,4,6,5,4,6,5,4,5,6,4,5,2,4,6,5,4,6,5,4,3,2,3,2,2,6,6,6
579,1,25,1, , , ,4,4,1,2,10,9,3,1,20,2,3,2,3,4,6,5,6,5,6,5,6,5,6,5,2,5,6,5,6,6,5,6,5,6,5,6,5,2,3,2
580,1,30,3, , , ,5,1,1,4,7,7,1,1,16,2,2,2,2,5,6,5,6,5,5,5,6,6,6,5,3,5,6,6,5,4,5,4,5,5,7,6,6,2,3,2
581,2,21,6, , , ,4,1,1,5,6,5,4,1,18,1,1,1,2,5,6,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
582,2,29,3, , , ,4,1,1,4,9,1,2,2, ,1,0,0,0,4,6,5,3,5,7,5,4,2,4,5,4,4,3,5,4,6,4,5,7,4,2,1,3,1,4,3
583,1,29,3, , , ,4,4,1,3,9,5,5,1,18,2,4,2,5,5,6,5,4,5,5,6,5,4,5,5,4,5,5,6,5,4,5,6,5,4,6,4,6,3,4,2
584,1,29,3, , , ,5,3,1,5,11,1,1,1,25,2,1,1,2,4,6,6,4,1,4,7,5,5,4,5,5,7,7,7,1,1,1,7,7,5,5,4,7,7,7,7
585,2,36,1, , , ,4,8,1,5,10,1,5,1,16,1,3,1,15,5,6,6,6,7,6,7,5,5,5,5,5,1,3,1,7,7,7,1,1,6,6,7,6,2,5,2
586,1,26,1, , , ,4,6,1,4,9,2,3,1,18,2,5,1,4,4,6,6,6,6,7,4,5,5,5,5,6,7,7,7,3,3,5,7,7,7,7,6,7,5,1,1
587,1,24,6, , , ,4,4,1,3,8,5,2,1,23,2,10,5,1,5,6,4,2,5,3,2,5,3,7,5,6,4,3,5,3,5,2,5,5,2,5,2,4,6,3,2
588,2,28,1, , , ,5,8,1,5,7,1,3,1,17,1,7,1,1,4,6,5,5,5,5,1,4,5,5,5,6,5,5,5,5,5,5,4,5,4,5,2,3,5,6,5
589,1,30,1, , , ,2,2,1,5,9,1,20,1,16,2,20,1,15,3,6,6,5,3,6,1,7,6,7,5,7,4,7,6,1,1,1,4,4,6,7,5,7,7,7,7
590,2,43,1, , , ,3,8,1,5,4,1,4,1,15,1,4,1,8,2,6,6,5,6,6,7,6,5,4,5,7,7,7,5,6,1,1,7,7,5,5,7,7,7,4,5
591,2,52,1, , , ,3,8,1,5,8,1,10,1,14,1,68,1,6,3,6,6,6,6,6,1,4,3,4,5,7,4,2,4,5,6,6,1,1,7,4,7,7,1,7,4
592,1,25,3, , , ,4,3,1,4,6,9,1,2, ,2,1,1,1,4,6,7,7,6,6,7,6,6,7,6,1,6,6,6,6,7,6,6,6,6,6,7,6,4,3,1
593,1,35,1, , , ,4,9,1,2,11,1,8,1,18,2,3,1,8,5,6,4,4,4,4,4,6,6,7,6,2,4,4,5,6,7,7,2,2,4,4,4,4,2,4,3
594,2,31,1, , , ,4,6,1,5,10,1,1,1,16,1,1,1,1,1,6,2,2,6,2,5,6,2,3,6,3,5,2,7,2,4,5,1,6,2,2,5,6,6,4,4
595,2,48,1, , , ,5,2,1,5,8,1,8,1,16,1,20,1,0,2,6,5,6,7,5,6,6,5,6,6,4,3,2,2,6,6,7,3,3,7,4,7,6,1,3,1
596,1,30,1, , , ,5,7,1,3,10,1,10,1,15,2,300,30,15,4,6,5,5,6,6,6,6,2,3,6,4,5,4,5,4,2,5,7,7,5,5,6,4,2,3,2
597,2,55,1, , , ,3,6,2, , , ,5,1,13,1,200 or more,0,0,5,6,5,5,5,5,3,6,6,6,6,5,4,2,6,6,6,6,6,2,6,6,6,5,2,2,2
598,2,30,1, , , ,3,3,1,5,10,1,2,1,18,1,2,1,5,2,6,5,4,5,5,7,7,7,7,6,5,5,4,7,6,3,3,2,3,5,4,6,4,1,1,5
599,1,32,1, , , ,4,5,1,3,8,6,2,1,25,2,2,1,0,3,6,4,4,5,3,4,3,3,5,6,5,3,2,5,3,3,4,3,4,3,3,3,3,4,6,3
600,1,45,1, , , ,4,7,1,5,9,2,20,1,12,2,25,1,12,3,6,6,7,6,6,7,6,6,6,6,6,3,2,2,6,7,7,1,1,7,6,7,7,7,7,7
601,2,25,1, , , ,4,5,1,5,8,1,5,1,14,1,5,1,0,2,6,6,6,5,5,5,6,5,6,6,6,7,4,5,2,1,1,4,5,5,4,3,6,6,6,6
602,1,38,1, , , ,2,3,2, , , ,5,1,16,2,5,1,10,3,6,4,6,7,5,7,5,6,7,6,6,3,4,2,7,7,7,2,1,7,5,7,7,1,7,1
603,2,33,1, , , ,4,4,1,5,8,1,2,1,16,1,1,1,1,2,6,6,6,6,6,4,3,4,5,6,6,2,3,3,6,6,6,2,2,6,4,6,4,4,2,2
604,2,25,1, , , ,4,4,2, , , ,1,1,20,1,1,0,0,3,6,7,7,7,5,6,5,5,6,7,6,1,2,5,7,6,6,2,3,7,5,7,7,5,5,2
605,2,28,1, , , ,2,4,1,5,9,1,3,1,18,1,11,1,1,2,6,6,6,6,6,6,7,7,7,7,6,2,4,5,7,7,7,1,1,7,6,7,6,4,6,6
606,1,36,1, , , ,2,8,1,5,11,6,4,1,21,2,4,1,20,5,7,7,7,7,7,7,1,1,1,1,7,7,7,7,1,1,1,7,7,7,6,7,7,7,7,7
607,2,33,1, , , ,3,8,1,5,10,1,15,1,16,1,15,1,1,5,7,7,7,4,4,2,2,1,1,1,7,7,4,7,1,1,1,7,7,2,7,7,7,7,7,7
608,2,35,6, , , ,4,2,1,5,11,1,0,1,20,1,3,1,30,3,7,7,7,6,7,2,5,3,6,2,2,2,1,1,6,6,6,1,1,1,1,1,1,1,1,1
609,2,53,1, , , ,4,7,1,5,10,1,9,1,15,1,19,1,5,4,7,7,7,7, ,4,5,5,6,2,2,6,1,1,4,6,2,2,1,1,1,4,2,1,7,7
610,2,36,1, , , ,3,4,1,5,7,2,7,1,13,1,6,1,3,3,7,7,6,7,7,7,6,4,4,3,7,7,7,6,3,2,1,6,5,7,7,7,7,7,6,7
611,2,45,1, , , ,5,4,2, , , ,3,1,24,1,17,1,4,3,7,7,7,7,7,3,5,5,5,4,4,7,4,7,7,7,7,1,1,7,7,7,7,1,7,2
612,2,34,1, , , ,4,6,1,5,10,1,5,1,17,1,9,1,3,4,7,5,4,3,5,3,7,7,5,4,4,7,7,5,2,2,2,5,4,7,6,4,7,7,6,6
613,2,38,1, , , ,3,2,1,5,11,1,11,1,15,1,11,1,20,4,7,5,4,4,4,1,7,7,7,4,7,7,7,6,4,4,1,4,4,5,5,5,4,4,7,6
614,1,36,1, , , ,4,7,1,5,11, ,2,1,16,2,4,1,20,5,7,5,5,7,7,7,3,5,6,5,1,5,7,4,7,7,5,5,4,5,6,5,4,4,2,4
615,2,27,1, , , ,4,6,1,4,10,10,1,1,24,1,1,1,1,5,7,5,5,5,5,5,7,5,4,5,3,7,6,6,7,5,6,7,7,4,5,5,5,3,4,3
616,1,34,1, , , ,4,8,1,5,11,1,1,1,21,2,1,1,12,3,7,5,4,7,7,7,5,5,5,5,5,1,1,1,5,5,5,1,1,7,4,7,7,1,4,3
617,1,37,3, , , ,3,1,1,5,7,1,2,1,21,2,2,2,10,4,7,7,7,7,7,7,7,7,5,6,1,7,4,5,6,6,7,6,4,6,6,3,6,2,1,2
618,1,62,6, , , ,3,6,2, , , ,10,1,18,2,10,1,4,3,7,7,6,6,7,2,5,5,6,6,2,7,6,5,6,5,6,6,7,7,6,6, ,7,6,7
619,1,34,2, , , ,5,7,2, , , ,2,1,21,2,2,0,0,3,7,7,7,7,6,6,7,6,7,6,6,4,4,4,6,7,6,2,2,7,6,7,7,6,7,6
620,1,42,1, , , ,4,6,2, , , ,1,1,38,2,1,0,0,4,7,6,6,6,6,7,6,6,7,6,6,2,2,2,7,7,7,2,2,7,6,4,7,2,7,4
621,1,27,1, , , ,2,1,2, , , ,2,1,22,2,1,0,0,3,7,6,7,7,7,4,7,7,7,6,7,5,7,7,7,7,3,1,1,7,7,7,7,7,7,7
622,2,26,2, , , ,5,2,1,5,11,1,6,1,15,1,2,1,4,5,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,1,1,1,7,7,7,7,7,1,1,1
623,1,29,3, , , ,5,1,1,1,8,8,1,2, ,2,1,1,0,5,7,7,7,6,7,7,7,7,6,7,1,6,7,6,6,6,6,7,7,7,7,7,6,2,2,1
624,2,29,3, , , ,4,1,1,5,11,1,1,1,19,1,1,1,20,4,7,7,7,7,7,7,7,7,7,7,2,6,7,7,6,6,6,6,6,6,7,6,6,2,1,2
625,1,27,3, , , ,4,1,1,5,11,11,1,1,21,2,1,1,1,5,7,7,7,7,6,6,7,7,7,7,2,6,7,7,6,7,7,6,7,6,7,7,7,1,1,2
626,2,19,6, , , ,2,4,2, , , ,0,2, ,1,0,0,0,3,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,4,1,1,1
627,2,19,6, , , ,2,4,2, , , ,0,2, ,1,0,0,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
628,2,40,1, , , ,5,6,2, , , ,20,1,15,1,20,1,0,2,7,7,7,7,7,7,7,7,7,7,7,2,1,2,6,7,7,1,1,7,7,7,6,6,7,5
629,2,29,3,8, , ,5,5,2, , , ,1,1,20,1,11,1,0,5,7,7,7,4,4,7,7,7,7,7,7,1,3,3,7,7,7,1,1,7,7,7,7,7,7,1
630,2,71,1, , , ,5,2,2, , , ,5,1,34,1,1,0,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7, ,7,7,1,1,1
631,2,35,1, , , ,2,1,1,5,11,1,3,1,13,1,3,1,15,3,7,7,7,7,7,7,7,7,7,7,7,1,4,7,7,7,7,7,7,7,7,7,7,1,1,1
