ParticipantID,SEX,ParticipantAge,ParticipantEthnicity1,ParticipantEthnicity2,ParticipantEthnicity3,ParticipantEthnicity4,EducationLevel,FamilyIncome,ParticipantLTR,DatingLength,RelationshipSatisfaction,ProbabilityLeaveCurrentPartner,PartnerNumber,HadSex,AgeSex,ParticipantPrimarilyAttracted,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth1,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24rc,CMVS25rc,CMVS26rc
410,1,1992,3, , , ,4,4,1,3,7,7,3,1,19,2,5,2,3,3,4,5,4,5,6,5,4,6,5,4,3,6,5,5,6,5,6,5,4,5,6,5,4,3,2,3
411,1,1992,3, , , ,4,4,1,3,8,6,2,1,2010,2,5,4,2,3,4,5,6,5,5,4,6,5,6,4,3, ,6,4,5,4,5,6,4,5,6,5,6,3,3,4
412,2,26,1, , , ,4,6,1,5,10,1,3,1,16,1,45,1,7,4,4,3,4,4,3,2,4,3,4,4,3,3,4,4,5,6,4,2,3,3,4,5,4,3,4,3
413,1,30,6, , , ,2,6,2, , , ,2,1,16,2,2,0,0,3,4,5,5,4,4,5,6,5,5,4,3,1,3,2,4,6,7,3,3,5,3,5,6,6,6,3
414,1,27,1, , , ,4,4,1,5,9,2,3,1,17,2,2,1,0,3,4,4,6,5,4,6,5,4,6,4,3,3,3,4,6,5,5,3,2,5,4,6,3,3,5,2
415,2,26,1, , , ,4,5,1,5,5,1,10,1,18,1,20,1,0,2,4,3,3,4,3,3,4,6,3,4,3,3,3,5,3,4,4,4,3,4,3,4,5,5,4,4
416,2,34,1, , , ,4,5,1,5,8,1,5,1,18,1,5,1,1,4,4,5,4,4,4,4,3,4,4,4,3,4,7,4,3,4,4,4,4,3,4,4,5,6,4,4
417,1,32,4, , , ,4,1,1,5,10,1,5,1,27,2,1,1,8,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
418,1,40,3, , , ,4,1,1,5,11,1,1,1,31,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4
419,2,33,1, , , ,3,4,1,5,2,10,8,1,17,1,11,1,0,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
420,1,25,8, , , ,5,4,1,5,10,2,4,1,18,2,2,1,22,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
421,2,30,6, , , ,4,6,1,5,9,1,3,1,22,1,2,1,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
422,1,41,6, , , ,4,6,1,5,9,1,10,1,20,2,10,1,10,4,4,4,4,5,4,5,5,5,6,4,4,2,4,4,5,6,6,3,3,6,5,6,5,3,2,2
423,2,45,1, , , ,4,7,1,5,9,1,1,1,18,1,5,1,5,3,4,5,5,5,5,5,4,4,5,4,4,2,2,4,5,5,5,5,4,4,4,4,4,4,4,4
424,2,53,1,8, , ,4,5,1,5,10,1,3,1,24,1,2,1,1,4,4,3,3,4,3,6,5,4,4,4,4,1,1,3,4,4,4,3,3,4,4,6,5,5,4,4
425,2,32,3, , , ,4,1,1,5,9,1,1,1,23,1,1,1,1,3,4,5,5,7,6,7,4,4,5,4,4,2,2,2,6,6,6,6,6,6,4,6,4,2,2,2
426,2,32,3, , , ,4,1,1,5,10,1,1,1,23,1,1,1,1,3,4,4,3,6,4,7,4,3,4,4,5,1,1,1,6,6,6,3,4,5,4,7,4,1,1,4
427,2,53,1,8, , ,4,5,1,5,9,1,3,1,23,1,2,1,0,4,4,4,4,7,4,6,6,4,6,4,5,1,1,7,7,7,7,4,4,4,4,7,5,5,2,2
428,2,47,1, , , ,4,4,1,4,8,5,6,1,17,1,20,1,5,4,4,4,4,5,4,2,5,5,4,4,5,6,7,6,2,3,4,7,6,5,4,3,3,3,4,5
429,1,35,8, , , ,4,3,1,5,9,1,8,1,14,2,4,1,6,3,4,2,3,4,2,4,5,5,6,4,5,2,3,2,3,5,4,1,2,3,3,4,4,3,6,6
430,1,27,1, , , ,4,3,1,4,9,2,3,1,17,2,2,1,0,3,4,5,6,6,5,7,4,4,5,4,5,2,3,4,7,6,5,4,2,5,4,6,5,2,6,3
431,1,42,3, , , ,4,2,1,5,10,1,1,1,29,2,1,0,0,4,4,2,1,4,4,7,4,4,3,4,5,1,1,1,2,4,4,3,4,3,3,7,2,7,5,7
432,2,28,1, , , ,4,7,1,5,11,1,1,1,20,1,1,1,1,4,4,5,4,4,5,5,4,5,5,4,5,4,5,4,5,5,5,6,4,3,5, ,5,4,3,3
433,2,28,1, , , ,2,4,1,5,10,1,3,1,17,1,2,1,1,3,4,3,3,3,3,5,5,5,5,4,5,3,3,2,5,6,6,3,3,5,4,5,4,4,3,4
434,2,45,1,7, , ,3,6,1,5,10,1,6,1,17,1,6,1,3,3,4,4,3,3,3,4,3,2,4,4,5,7,1,7,7,7,7,4,4,6,4,4,3,1,1,1
435,2,32,3, , , ,4,3,1,5,8,1,3,1,21,1,1,1,4,4,4,4,5,5,6,4,4,4,4,4,6,7,4,5,5,4,4,5,4,4,5,4,4,3,3,3
436,1,33,3, , , ,4,4,1,5,8,1,2,1,18,2,2,1,1,5,4,2,3,2,1,3,4,3,3,4,6,4,2,3,2,1,3,4,4,2,3,2,2,7,4,6
437,2,33,6, , , ,5,5,2, , , ,5,1,22,1,11,1,0,2,4,4,3,3,4,2,3,5,5,4,6,2,2,2,7,7,7,4,4,6,7,7,7,1, ,1
438,2,35,6, , , ,2,6,1,5, ,1,7,1,14,1,5,1,6,3,4,3,4,3,5,1,1,2,4,4,6,7,6,5,3,2,1,3,3,4,3,2,4,5,4,3
439,2,35,1, , , ,2,1,1,5,11,1,3,1,13,1,3,1,15,4,4,4,4,4,4,4,7,7,7,4,7,1,1,4,7,7,7,7,4,4,4,4,4,4,4,4
440,2,57,1, , , ,5,4,1,5,11,1,7,1,18,1,6,1,0,4,4,4,5,7,7,4,5,5,4,5,1,1,1,7,7,7,7,7,7,7,4,7,3,1,1,1
441,2,48,1, , , ,5,6,1,5,10,1,5,1,16,1,21,1,1,2,4,4,5,5,3,5,6,6,6,5,2,6,3,6,7,7,7,2,3,5,3,6,3,2,3,4
442,1,28,3, , , ,4,1,1,2,6,8,3,1,18,2,2,2,2,4,4,3,3,3,3,4,3,3,5,5,3,6,5,3,6,4,4,5,5,5,5,4,5,4,3,4
443,1,49,1, , , ,5,7,1,5,10,9,6,1,21,2,4,4,100,4,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,3,4
444,1,35,1,1, , ,4,3,1,5,10,1,3,1,15,2,3,1,6,3,4,4,4,7,4,7,5,5,5,5,4,7,4,4,7,7,7,1,1,5,4,4,5,1,7,1
445,1,27,3, , , ,4,2,1,4,9,9,2,1,22,2,2,1,1,4,4,2,3,4,6,4,5,3,4,5,4,2,4,4,2,4,6,4,5,4,3,4,5,4,5,4
446,2,24,1, , , ,2,8,1,4,11,1,2,1,17,1,2,1,1,4,4,3,6,5,4,3,4,5,5,5,4,4,5,6,5,4,3,4,5,4,3,3,4,3,4,5
447,1,55,1, , , ,4,6,2, , , ,22,1,19,2,22,3,6,3,4,3,3,3,3,6,5,5,5,5,4,3,3,3,6,6,6,3,3,4,3,3,3,3,4,2
448,2,28,1, , , , ,6,1,5, ,1,1,1,22,1,1,1,1,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5,4,4,5,4,4,5,3,3,4
449,2,28,1, , , ,4,8,1,5,9,1,3,1,16,1,4,1,6,4,4,5,2,3,4,5,4,3,5,5,4,4,5,3,4,5,5,6,3,6,6,2,2,3,3,4
450,1,76,1, , , ,5,4,2, , , ,45,1,18,2,25,0,0,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,7,7,7,4,4,6,4,4,5,1,4,4
451,1,40,1, , , ,5,6,2, , , ,7,1,25,2,4,0,0,3,4,4,4,4,4,4,5,5,5,5,5,3,2,4,6,7,7,2,2,4,2,3,5,5,6,4
452,2,35,1, , , ,3,6,1,5,6,1,7,1,18,1,7,1,2,2,4,4,5,5,5,5,5,6,6,5,5,6,6,6,6,5,5,2,2,6,3,6,6,2,6,2
453,1,29,1, , , ,2,8,1,5,11,1,4,1,24,2,3,1,5,3,4,4,4,4,4,4,5,5,5,5,5,7,4,7,7,7,7,4,4,4,5,7,3,1,1,4
454,1,27,1, , , ,4,5,2, , , ,4,1,18,2,4,0,0,3,4,5,5,5,4,5,5,5,5,5,5,4,4,5,3,2,2,2,3,5,4,5,5,4,5,5
455,1,19,1, , , ,2,1,2, , , ,0,2, ,2,0,0,0,4,4,2,3,5, ,4,5,6,7,5,5,2,5,6,5,4,2,4,4,6,5,4,2,2,4,2
456,2,62,1, , , ,2,2,1,5,10,1,5,1,18,1,25,1,0,3,4,4,4,3,4,7,3,4,4,5,5,4,3,5,7,7,7,3,4,6,5,7,6,1,2,2
457,1,40,1, , , ,5,6,1,3,11,1,5,1,18,2,5,2,30,4,4,5,3,3,3,4,4,5,5,5,5,4,4,2,4,5,4,4,4,5,5,4,3,5,4,3
458,1,29,1, , , ,4,8,1,5,10,1,2,1,19,2,2,1,2,4,4,4,3,3,4,6,2,3,4,5,5,1,2,1,3,1,1,1,1,1,1,2,5,1,5,5
